N-samples,CNAME,e1_all_unsatgl_rm,e2_all_unsatgl_rm
0,CAYUGA H S,34,25
1,ELKHART H S,30,17
2,FRANKSTON H S,24,18
3,NECHES H S,32,39
4,PALESTINE H S,47,51
5,WESTWOOD H S,43,32
6,WESTWOOD H S,43,12
7,WESTWOOD H S,9,32
8,WESTWOOD H S,9,12
9,SLOCUM H S,29,15
10,ANDREWS H S,45,36
11,ANDREWS EDUCATI,67,91
12,PINEYWOODS COMM,32,27
13,HUDSON H S,29,20
20,STUBBLEFIELD LR,100,100
29,LUFKIN H S,45,42
30,JUVENILE DETENT,78,83
31,JUVENILE DETENT,78,73
32,JUVENILE DETENT,78,80
33,JUVENILE DETENT,78,71
34,JUVENILE DETENT,78,60
35,JUVENILE DETENT,78,56
36,JUVENILE DETENT,78,79
38,JUVENILE DETENT,82,83
39,JUVENILE DETENT,82,73
40,JUVENILE DETENT,82,80
41,JUVENILE DETENT,82,71
42,JUVENILE DETENT,82,60
43,JUVENILE DETENT,82,56
44,JUVENILE DETENT,82,79
46,JUVENILE DETENT,88,83
47,JUVENILE DETENT,88,73
48,JUVENILE DETENT,88,80
49,JUVENILE DETENT,88,71
50,JUVENILE DETENT,88,60
51,JUVENILE DETENT,88,56
52,JUVENILE DETENT,88,79
54,JUVENILE DETENT,83,83
55,JUVENILE DETENT,83,73
56,JUVENILE DETENT,83,80
57,JUVENILE DETENT,83,71
58,JUVENILE DETENT,83,60
59,JUVENILE DETENT,83,56
60,JUVENILE DETENT,83,79
62,JUVENILE DETENT,78,83
63,JUVENILE DETENT,78,73
64,JUVENILE DETENT,78,80
65,JUVENILE DETENT,78,71
66,JUVENILE DETENT,78,60
67,JUVENILE DETENT,78,56
68,JUVENILE DETENT,78,79
70,JUVENILE DETENT,74,83
71,JUVENILE DETENT,74,73
72,JUVENILE DETENT,74,80
73,JUVENILE DETENT,74,71
74,JUVENILE DETENT,74,60
75,JUVENILE DETENT,74,56
76,JUVENILE DETENT,74,79
78,JUVENILE DETENT,84,83
79,JUVENILE DETENT,84,73
80,JUVENILE DETENT,84,80
81,JUVENILE DETENT,84,71
82,JUVENILE DETENT,84,60
83,JUVENILE DETENT,84,56
84,JUVENILE DETENT,84,79
94,HUNTINGTON H S,39,31
95,PRIDE ALTER SCH,100,70
96,DIBOLL H S,48,43
97,ZAVALLA H S,48,26
98,CENTRAL H S,42,41
99,CENTRAL H S,42,18
100,CENTRAL H S,42,39
